        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.927259      0.936402  489.000000  4.000000e-01   0.000356  32.830051
std     0.062367      0.054905   45.354418  1.684588e-16   0.000006   0.454358
min     0.733300      0.750000  394.000000  4.000000e-01   0.000345  32.081975
25%     0.933300      0.937500  461.250000  4.000000e-01   0.000353  32.579815
50%     0.933300      0.944400  479.000000  4.000000e-01   0.000355  32.670041
75%     0.949975      0.958300  523.750000  4.000000e-01   0.000358  32.908890
max     1.000000      1.000000  617.000000  4.000000e-01   0.000373  33.921874
GLOBAL EMISSIONS: 0.000349252447667 ( 7.761165503711112e-06 each execution)
