        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  29.000000     29.000000   29.000000  2.900000e+01  29.000000  29.000000
mean    0.844655      0.839610  108.103448  3.000000e-01   0.000301  27.099535
std     0.068594      0.072845   43.694839  5.649373e-17   0.000006   0.501828
min     0.666700      0.634600   39.000000  3.000000e-01   0.000290  26.201458
25%     0.809500      0.798100   79.000000  3.000000e-01   0.000297  26.790880
50%     0.850000      0.845200   96.000000  3.000000e-01   0.000300  27.027470
75%     0.857100      0.888900  130.000000  3.000000e-01   0.000306  27.400337
max     1.000000      1.000000  207.000000  3.000000e-01   0.000313  28.262277
GLOBAL EMISSIONS: 0.0002921806207792 ( 9.739354025973333e-06 each execution)
