        test_acc  balanced_acc  nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.0  4.400000e+01       44.0  44.000000
mean    0.520393      0.525175  500.0  1.000000e-01       -1.0  24.941510
std     0.019194      0.022467    0.0  4.211469e-17        0.0   0.166326
min     0.482700      0.482200  500.0  1.000000e-01       -1.0  24.710924
25%     0.504450      0.509275  500.0  1.000000e-01       -1.0  24.776848
50%     0.522200      0.523700  500.0  1.000000e-01       -1.0  24.978253
75%     0.535775      0.542025  500.0  1.000000e-01       -1.0  25.054725
max     0.553100      0.573700  500.0  1.000000e-01       -1.0  25.324024
GLOBAL EMISSIONS: 1144.5168356895447 ( 25.43370745976766 each execution)
