        test_acc  balanced_acc  nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.0  4.400000e+01       44.0  44.000000
mean    0.529800      0.535525  500.0  2.000000e-01       -1.0  35.085927
std     0.018933      0.022957    0.0  8.422938e-17        0.0   0.441618
min     0.489600      0.489400  500.0  2.000000e-01       -1.0  34.721985
25%     0.518750      0.519575  500.0  2.000000e-01       -1.0  34.855233
50%     0.531700      0.537750  500.0  2.000000e-01       -1.0  34.905836
75%     0.541075      0.549375  500.0  2.000000e-01       -1.0  35.114220
max     0.583600      0.591900  500.0  2.000000e-01       -1.0  37.023846
GLOBAL EMISSIONS: 1599.5988776683807 ( 35.546641725964015 each execution)
