test_acc,nfeat,max_alpha,emissions
0.6923,117.0,0.25,0.0002318440477561
0.6923,106.0,0.25,0.0002448118358599
0.6923,103.0,0.25,0.000244146643919
0.6923,112.0,0.25,0.0002362677235584
0.6923,115.0,0.25,0.000249648107132
0.6923,105.0,0.25,0.0002389628916646
0.6923,104.0,0.25,0.0002359680664225
0.6923,107.0,0.25,0.0002368719400902
0.6923,105.0,0.25,0.0002376327519653
0.6923,107.0,0.25,0.0002486716299942
0.6923,116.0,0.25,0.0002376081499862
0.6923,103.0,0.25,0.0002531012119844
0.6923,99.0,0.25,0.0002467944532702
0.6923,112.0,0.25,0.0002527764271788
0.6923,107.0,0.25,0.0002516059505628
0.6923,99.0,0.25,0.00024773180144
0.6923,112.0,0.25,0.0002494225745929
0.6923,107.0,0.25,0.0002518857858855
0.6923,112.0,0.25,0.0002503267516855
0.6923,109.0,0.25,0.0002523296392915
