test_acc,nfeat,max_alpha,emissions
0.6923,1559.0,0.05,0.0001317249585173
0.6923,1682.0,0.05,0.0001247401265542
0.7692,1722.0,0.05,0.0001426854477081
0.7692,1641.0,0.05,0.0001245312414574
0.7692,1742.0,0.05,0.000124585243954
0.6923,1650.0,0.05,0.0001301087339872
0.6923,1676.0,0.05,0.0001252696705714
0.7692,1605.0,0.05,0.0001358864364302
0.7692,1686.0,0.05,0.0001220298653506
0.6923,1646.0,0.05,0.0001363325879318
0.7692,1757.0,0.05,0.0001203595931596
0.7692,1639.0,0.05,0.0001228931194389
0.7692,1640.0,0.05,0.0001271357488792
0.7692,1746.0,0.05,0.0001301616031378
0.7692,1660.0,0.05,0.0001335000766709
0.6923,1651.0,0.05,0.0001288779852783
0.7692,1589.0,0.05,0.0001329383120511
0.7692,1746.0,0.05,0.0001249501123045
0.7692,1623.0,0.05,0.0001280246378317
0.7692,1543.0,0.05,0.0001370904259371
