test_acc,nfeat,max_alpha,emissions
0.6923,44.0,0.35,0.0003221147774668
0.6923,40.0,0.35,0.0003319638033519
0.6923,42.0,0.35,0.0003290987714155
0.6923,40.0,0.35,0.0003362550836214
0.6923,44.0,0.35,0.0003196767989377
0.6923,40.0,0.35,0.0003193857526143
0.6923,43.0,0.35,0.0003223601874998
0.6923,42.0,0.35,0.0003164384623895
0.7692,43.0,0.35,0.0003185432582753
0.6923,48.0,0.35,0.0003194055738112
0.6923,46.0,0.35,0.0003271682358114
0.6923,38.0,0.35,0.0003283958963487
0.6923,47.0,0.35,0.0003218830987049
0.6923,42.0,0.35,0.0003215269896339
0.6923,47.0,0.35,0.0003246939127026
0.6923,47.0,0.35,0.0003182085653154
0.6923,45.0,0.35,0.0003146968320943
0.6923,44.0,0.35,0.0003148965858554
0.6923,48.0,0.35,0.0003101648589512
0.6923,45.0,0.35,0.0003143929918826
