test_acc,nfeat,max_alpha,emissions
0.6923,2000.0,0.0,2.934685425174699e-06
0.6923,2000.0,0.0,4.186157915661253e-07
0.6923,2000.0,0.0,1.0189465447403078e-06
0.6923,2000.0,0.0,3.936381400752192e-07
0.6923,2000.0,0.0,1.0140696719996595e-06
0.6923,2000.0,0.0,6.737583968686592e-07
0.6923,2000.0,0.0,5.20060974215904e-07
0.6154,2000.0,0.0,4.339595577346219e-07
0.6923,2000.0,0.0,6.098584411925771e-07
0.6923,2000.0,0.0,9.198963743223518e-07
0.6923,2000.0,0.0,8.65588231654177e-07
0.6154,2000.0,0.0,6.849246104614512e-07
0.6923,2000.0,0.0,6.288973629348514e-07
0.6154,2000.0,0.0,1.0310820018517268e-06
0.6923,2000.0,0.0,3.8909426805663286e-07
0.6154,2000.0,0.0,8.687962925790235e-07
0.6923,2000.0,0.0,6.460461487559471e-07
0.7692,2000.0,0.0,1.1240950021470793e-06
0.6923,2000.0,0.0,8.775347645606572e-07
0.6923,2000.0,0.0,5.648003377449599e-07
