        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0       44.0  44.000000
mean    0.831752      0.824177   99.863636        0.5       -1.0  43.598952
std     0.058070      0.064741    0.347142        0.0        0.0   4.103823
min     0.714300      0.694400   99.000000        0.5       -1.0  34.046581
25%     0.800000      0.785700  100.000000        0.5       -1.0  40.931491
50%     0.850000      0.833300  100.000000        0.5       -1.0  42.886065
75%     0.857100      0.857100  100.000000        0.5       -1.0  46.294874
max     1.000000      1.000000  100.000000        0.5       -1.0  52.662220
GLOBAL EMISSIONS: 1982.5854082107544 ( 44.05745351579454 each execution)
