        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01       44.0  44.000000
mean    0.928780      0.937657   957.045455  3.000000e-01       -1.0  39.470621
std     0.069543      0.061653    69.062477  5.615292e-17        0.0   0.407357
min     0.733300      0.750000   758.000000  3.000000e-01       -1.0  38.983399
25%     0.866700      0.900000   922.750000  3.000000e-01       -1.0  39.233401
50%     0.933300      0.940950   964.000000  3.000000e-01       -1.0  39.418751
75%     1.000000      1.000000   994.000000  3.000000e-01       -1.0  39.530378
max     1.000000      1.000000  1102.000000  3.000000e-01       -1.0  41.130289
GLOBAL EMISSIONS: 1784.7077043056488 ( 39.66017120679219 each execution)
