        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0       44.0  44.000000
mean    0.829536      0.823191   99.772727        0.5       -1.0  43.591859
std     0.059219      0.066311    0.475621        0.0        0.0   4.217503
min     0.714300      0.697100   98.000000        0.5       -1.0  34.321188
25%     0.800000      0.785700  100.000000        0.5       -1.0  40.343684
50%     0.809500      0.810600  100.000000        0.5       -1.0  43.357951
75%     0.857100      0.851775  100.000000        0.5       -1.0  46.311246
max     1.000000      1.000000  100.000000        0.5       -1.0  53.662759
GLOBAL EMISSIONS: 1982.9628641605377 ( 44.06584142578973 each execution)
