        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01       44.0  44.000000
mean    0.826234      0.819645   99.840909  4.000000e-01       -1.0  43.875357
std     0.061952      0.069806    0.369989  1.684588e-16        0.0   4.279639
min     0.700000      0.670300   99.000000  4.000000e-01       -1.0  34.397424
25%     0.800000      0.785700  100.000000  4.000000e-01       -1.0  40.846692
50%     0.809500      0.803100  100.000000  4.000000e-01       -1.0  43.572683
75%     0.857100      0.858725  100.000000  4.000000e-01       -1.0  46.979347
max     1.000000      1.000000  100.000000  4.000000e-01       -1.0  53.442674
GLOBAL EMISSIONS: 1993.60324883461 ( 44.302294418546886 each execution)
