        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01       44.0  44.000000
mean    0.830514      0.826864   790.568182  1.000000e-01       -1.0  21.769194
std     0.071953      0.078423   140.500997  4.211469e-17        0.0   0.460961
min     0.700000      0.686900   505.000000  1.000000e-01       -1.0  21.021797
25%     0.800000      0.784325   684.000000  1.000000e-01       -1.0  21.184305
50%     0.809500      0.825750   795.000000  1.000000e-01       -1.0  22.045062
75%     0.867825      0.890800   858.250000  1.000000e-01       -1.0  22.110181
max     1.000000      1.000000  1161.000000  1.000000e-01       -1.0  22.345566
GLOBAL EMISSIONS: 997.9325699806213 ( 22.176279332902695 each execution)
