        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.951591      0.951736  172.545455  1.000000e-01   0.000170  15.574204
std     0.004259      0.004251   13.017796  4.211469e-17   0.000004   0.149582
min     0.940800      0.941000  144.000000  1.000000e-01   0.000158  15.120056
25%     0.948900      0.949000  162.000000  1.000000e-01   0.000167  15.486889
50%     0.951400      0.951500  172.500000  1.000000e-01   0.000170  15.603854
75%     0.955100      0.955175  181.250000  1.000000e-01   0.000173  15.682026
max     0.959300      0.959400  199.000000  1.000000e-01   0.000176  15.807336
GLOBAL EMISSIONS: 0.0001728579978457 ( 3.841288841015555e-06 each execution)
