        test_acc  balanced_acc    nfeat  max_alpha  emissions   duration
count  44.000000     44.000000     44.0       44.0  44.000000  44.000000
mean    0.898750      0.909118  20000.0        0.0   0.000044   3.358171
std     0.034068      0.022131      0.0        0.0   0.000002   0.005943
min     0.795000      0.854600  20000.0        0.0   0.000041   3.347995
25%     0.885000      0.895400  20000.0        0.0   0.000043   3.352644
50%     0.910000      0.912600  20000.0        0.0   0.000044   3.358649
75%     0.920000      0.921500  20000.0        0.0   0.000045   3.362041
max     0.950000      0.950700  20000.0        0.0   0.000046   3.371897
GLOBAL EMISSIONS: 4.592844381044506e-05 ( 1.020632084676557e-06 each execution)
