        test_acc  balanced_acc        nfeat  max_alpha  emissions   duration
count  29.000000     29.000000    29.000000       29.0  29.000000  29.000000
mean    0.894310      0.906459  9055.310345        0.0   0.000019   0.881812
std     0.043686      0.027197    79.966110        0.0   0.000001   0.024892
min     0.765000      0.840100  8869.000000        0.0   0.000017   0.845382
25%     0.875000      0.890000  9002.000000        0.0   0.000018   0.862281
50%     0.905000      0.910000  9076.000000        0.0   0.000019   0.880234
75%     0.925000      0.927100  9118.000000        0.0   0.000020   0.887484
max     0.950000      0.951600  9166.000000        0.0   0.000022   0.948069
GLOBAL EMISSIONS: 1.87172676425882e-05 ( 6.239089214196067e-07 each execution)
