test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,36.0,0.2,0.0006044021128046,54.94034552574158
0.9167,0.9091,16.0,0.2,0.0007403217973807,67.88997626304626
1.0,1.0,19.0,0.2,0.000615533781945,56.036593198776245
0.9583,0.9706,15.0,0.2,0.0006710517044831,61.239994049072266
1.0,1.0,17.0,0.2,0.0006428563997385,58.680779695510864
1.0,1.0,22.0,0.2,0.0006761267038483,61.88532829284668
0.9583,0.9444,35.0,0.2,0.0006522841852289,59.51759839057922
1.0,1.0,20.0,0.2,0.000736020970431,66.83528184890747
0.9583,0.9444,24.0,0.2,0.0007077351558123,64.81865215301514
0.9583,0.9706,29.0,0.2,0.0005143533614081,46.813640117645264
0.9583,0.95,38.0,0.2,0.0005271486831038,48.29909110069275
1.0,1.0,48.0,0.2,0.0004799948377505,43.85929107666016
0.9583,0.9444,14.0,0.2,0.0007601419830391,69.25644207000732
0.9583,0.9688,17.0,0.2,0.0006116178273051,55.8278431892395
