        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.962111      0.957952  191.613636  4.000000e-01   0.000353  32.596539
std     0.032166      0.036677   24.213408  1.684588e-16   0.000008   0.648495
min     0.875000      0.864300  143.000000  4.000000e-01   0.000334  31.033059
25%     0.958300      0.944400  170.750000  4.000000e-01   0.000347  32.112393
50%     0.958300      0.950000  189.000000  4.000000e-01   0.000354  32.583911
75%     1.000000      1.000000  208.250000  4.000000e-01   0.000359  33.144181
max     1.000000      1.000000  255.000000  4.000000e-01   0.000366  34.054484
GLOBAL EMISSIONS: 0.0003388820378107 ( 7.530711951348888e-06 each execution)
