        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0  44.000000  44.000000
mean    0.922725      0.929143  164.613636        0.5   0.000437  40.246454
std     0.060892      0.057549   18.490998        0.0   0.000005   0.360837
min     0.800000      0.803600  134.000000        0.5   0.000416  38.742665
25%     0.866700      0.866100  153.750000        0.5   0.000435  40.112726
50%     0.933300      0.937500  163.000000        0.5   0.000436  40.209618
75%     1.000000      1.000000  174.250000        0.5   0.000440  40.348142
max     1.000000      1.000000  227.000000        0.5   0.000449  41.157821
GLOBAL EMISSIONS: 0.0004458368950298 ( 9.907486556217778e-06 each execution)
