        test_acc  balanced_acc  nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.0       44.0       44.0  44.000000
mean    0.508355      0.510543  500.0        0.0       -1.0   4.911082
std     0.019952      0.024135    0.0        0.0        0.0   0.028343
min     0.464200      0.461200  500.0        0.0       -1.0   4.877235
25%     0.493550      0.491275  500.0        0.0       -1.0   4.887875
50%     0.507800      0.511550  500.0        0.0       -1.0   4.897563
75%     0.523100      0.527000  500.0        0.0       -1.0   4.936180
max     0.551300      0.558100  500.0        0.0       -1.0   4.970512
GLOBAL EMISSIONS: 240.30279231071472 ( 5.340062051349216 each execution)
