test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9679,0.9681,4918.0,0.0,8.105482336304818e-05,7.671663522720337
0.9636,0.9638,4946.0,0.0,8.603083170275349e-05,7.673623561859131
0.9704,0.9706,4939.0,0.0,8.08350373533811e-05,7.681079864501953
0.961,0.9612,4927.0,0.0,8.596655831796389e-05,7.666716814041138
0.9687,0.9689,4923.0,0.0,8.335636923395604e-05,7.7730302810668945
0.9726,0.9727,4935.0,0.0,8.687458091448983e-05,7.706367015838623
0.9653,0.9654,4935.0,0.0,8.14006784939527e-05,7.829641580581665
0.9683,0.9687,4931.0,0.0,8.680712233637512e-05,7.844708681106567
0.97,0.97,4940.0,0.0,8.184742690132845e-05,7.786043167114258
0.9717,0.9717,4935.0,0.0,8.490530446160289e-05,7.7212488651275635
0.9661,0.9662,4928.0,0.0,8.115503946014395e-05,7.702844142913818
0.9657,0.9659,4927.0,0.0,8.468848511955122e-05,7.688718318939209
0.9657,0.9658,4937.0,0.0,8.198817317242828e-05,7.690336465835571
0.9691,0.9693,4945.0,0.0,8.91036563180594e-05,7.831095933914185
0.9692,0.9692,4941.0,0.0,8.278934088018619e-05,7.740473747253418
0.967,0.9671,4922.0,0.0,8.820425089005324e-05,7.792909622192383
0.9636,0.9636,4940.0,0.0,8.079053387950302e-05,7.687492370605469
0.9657,0.9658,4937.0,0.0,8.613972849604681e-05,7.696224689483643
0.9679,0.9682,4931.0,0.0,8.220440011888043e-05,7.825467348098755
0.9649,0.9651,4913.0,0.0,8.638167780476479e-05,7.697458505630493
0.9722,0.9724,4932.0,0.0,8.247766891260425e-05,7.683423042297363
0.9597,0.9603,4920.0,0.0,8.703522625409659e-05,7.725987195968628
0.9679,0.9679,4938.0,0.0,8.256662586925556e-05,7.736613035202026
0.9679,0.9679,4931.0,0.0,8.727025985063581e-05,7.740002393722534
0.9666,0.9666,4929.0,0.0,8.112254915024684e-05,7.641661167144775
0.967,0.9674,4943.0,0.0,8.186020014882265e-05,7.63902735710144
0.964,0.964,4934.0,0.0,8.436138865520359e-05,7.700162649154663
0.9687,0.9689,4938.0,0.0,7.94665772316658e-05,7.685824632644653
0.9691,0.9693,4931.0,0.0,8.381613249350801e-05,7.653280258178711
0.9666,0.9666,4932.0,0.0,7.949799034262254e-05,7.671890735626221
0.9661,0.9662,4939.0,0.0,8.475337663586728e-05,7.65631628036499
0.9683,0.9684,4934.0,0.0,8.084259696756297e-05,7.697763442993164
0.9722,0.9723,4936.0,0.0,8.745044310182633e-05,7.66197657585144
0.9644,0.9644,4940.0,0.0,8.046032439188033e-05,7.666336536407471
0.9619,0.9621,4934.0,0.0,8.72123800378008e-05,7.656002759933472
0.9687,0.9689,4944.0,0.0,8.259221265554485e-05,7.663334131240845
0.967,0.9672,4931.0,0.0,8.271607887405368e-05,7.688287973403931
0.9683,0.9683,4914.0,0.0,8.186900114833364e-05,7.696027994155884
0.9653,0.9656,4943.0,0.0,8.691397104717275e-05,7.685704231262207
0.9666,0.9666,4920.0,0.0,8.121412732636912e-05,7.7013585567474365
0.9734,0.9734,4935.0,0.0,8.650561991888908e-05,7.699396133422852
0.9662,0.9663,4928.0,0.0,8.315032449235897e-05,7.720650672912598
0.9653,0.9654,4923.0,0.0,8.50721491933715e-05,7.660801887512207
0.967,0.9671,4935.0,0.0,8.281294095144788e-05,7.672801971435547
