        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0  44.000000  44.000000
mean    0.960218      0.956114   99.727273        0.5   0.000392  32.166475
std     0.032335      0.036562    0.499471        0.0   0.000019   1.508907
min     0.875000      0.864300   98.000000        0.5   0.000355  29.343106
25%     0.958300      0.944400   99.750000        0.5   0.000378  31.199440
50%     0.958300      0.950000  100.000000        0.5   0.000394  32.538885
75%     1.000000      1.000000  100.000000        0.5   0.000404  33.066836
max     1.000000      1.000000  100.000000        0.5   0.000428  35.212203
GLOBAL EMISSIONS: 0.0004198623234776 ( 9.330273855057779e-06 each execution)
