        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01       44.0  44.000000
mean    0.945073      0.936527  1630.750000  1.000000e-01       -1.0  18.680125
std     0.034523      0.037745   180.745501  4.211469e-17        0.0   0.157552
min     0.875000      0.864300  1191.000000  1.000000e-01       -1.0  18.420522
25%     0.916700      0.906200  1539.000000  1.000000e-01       -1.0  18.520198
50%     0.958300      0.944400  1614.500000  1.000000e-01       -1.0  18.674727
75%     0.958300      0.950000  1754.500000  1.000000e-01       -1.0  18.755185
max     1.000000      1.000000  2006.000000  1.000000e-01       -1.0  18.983818
GLOBAL EMISSIONS: 856.9254810810089 ( 19.042788468466863 each execution)
