        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01       44.0  44.000000
mean    0.964950      0.960789  190.136364  4.000000e-01       -1.0  47.228889
std     0.031051      0.035531   22.143917  1.684588e-16        0.0   0.416522
min     0.875000      0.864300  154.000000  4.000000e-01       -1.0  46.672537
25%     0.958300      0.944400  173.750000  4.000000e-01       -1.0  46.973225
50%     0.958300      0.959400  187.000000  4.000000e-01       -1.0  47.151186
75%     1.000000      1.000000  209.500000  4.000000e-01       -1.0  47.428477
max     1.000000      1.000000  238.000000  4.000000e-01       -1.0  49.051113
GLOBAL EMISSIONS: 2143.813714504242 ( 47.640304766760934 each execution)
