        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0  44.000000  44.000000
mean    0.837275      0.830700   99.750000        0.5   0.000324  29.860744
std     0.060304      0.065904    0.488234        0.0   0.000021   1.967609
min     0.714300      0.694400   98.000000        0.5   0.000264  24.245175
25%     0.807125      0.790750  100.000000        0.5   0.000313  28.918695
50%     0.850000      0.840850  100.000000        0.5   0.000329  30.108896
75%     0.857100      0.869925  100.000000        0.5   0.000338  31.175480
max     1.000000      1.000000  100.000000        0.5   0.000366  34.018548
GLOBAL EMISSIONS: 0.0003313499995125 ( 7.3633333225e-06 each execution)
