test_acc,nfeat,max_alpha,emissions
0.7692,1762.0,0.05,0.0001106505617314
0.6923,1611.0,0.05,0.0001142872221713
0.6923,1718.0,0.05,0.0001148921744081
0.7692,1661.0,0.05,0.0001165397692193
0.7692,1650.0,0.05,0.0001166779215278
0.6923,1639.0,0.05,0.0001114358191981
0.6923,1669.0,0.05,0.0001156409852365
0.7692,1633.0,0.05,0.0001114808922965
0.7692,1610.0,0.05,0.0001155841530313
0.7692,1592.0,0.05,0.0001107070036939
0.7692,1645.0,0.05,0.0001125808573105
0.6923,1717.0,0.05,0.0001088971174236
0.7692,1616.0,0.05,0.0001168824044028
0.6923,1569.0,0.05,0.0001079088962516
0.7692,1625.0,0.05,0.0001167793714733
0.7692,1589.0,0.05,0.0001095905300647
0.7692,1733.0,0.05,0.00011885973144
0.7692,1563.0,0.05,0.0001107495456588
0.6923,1598.0,0.05,0.0001190523999519
0.7692,1645.0,0.05,0.0001115584861015
