test_acc,nfeat,max_alpha,emissions
0.6923,104.0,0.25,0.0002654760876366
0.6923,100.0,0.25,0.0002684509832378
0.6923,114.0,0.25,0.0002801538517778
0.6923,97.0,0.25,0.0002686903923966
0.6923,104.0,0.25,0.0002763387186409
0.6923,103.0,0.25,0.0002656507842063
0.6923,106.0,0.25,0.0002587256263844
0.6923,112.0,0.25,0.0002668423076261
0.6923,109.0,0.25,0.0002597732045458
0.6923,114.0,0.25,0.0002582681687641
0.6923,105.0,0.25,0.0002626720549473
0.6923,109.0,0.25,0.0002603517699194
0.6923,99.0,0.25,0.000277539168631
0.6923,108.0,0.25,0.0002640261838691
0.6923,109.0,0.25,0.000271812520471
0.6923,116.0,0.25,0.0002656893532934
0.6923,108.0,0.25,0.000269978928689
0.6923,112.0,0.25,0.0002676891972106
0.6923,104.0,0.25,0.0002690614358039
0.6923,102.0,0.25,0.0002584079369901
