test_acc,nfeat,max_alpha,emissions
0.6923,42.0,0.35,0.0003391974255783
0.6923,42.0,0.35,0.0003388749075869
0.6923,44.0,0.35,0.0003357263871192
0.6923,41.0,0.35,0.0003447246291758
0.6923,41.0,0.35,0.0003384807378567
0.6923,42.0,0.35,0.0003379581104684
0.6923,47.0,0.35,0.0003494183548865
0.6923,45.0,0.35,0.0003555308386019
0.6923,44.0,0.35,0.0003471551064361
0.6923,44.0,0.35,0.0003353025330089
0.6923,44.0,0.35,0.0003283444577396
0.6923,43.0,0.35,0.0003357929939313
0.6923,42.0,0.35,0.0003310240583227
0.6923,46.0,0.35,0.0003293409713813
0.6923,45.0,0.35,0.0003238900882143
0.6923,40.0,0.35,0.0003408131164775
0.6923,41.0,0.35,0.000350579732021
0.6923,39.0,0.35,0.0003397778302728
0.6923,43.0,0.35,0.0003486712408163
0.6923,43.0,0.35,0.0003364267569483
