test_acc,nfeat,max_alpha,emissions
0.6154,2000.0,0.0,3.0870150209647037e-06
0.6923,2000.0,0.0,6.461147423569215e-07
0.7692,2000.0,0.0,9.747140341488085e-07
0.6923,2000.0,0.0,4.841648440568365e-07
0.7692,2000.0,0.0,9.86658122969112e-07
0.6923,2000.0,0.0,7.931955878010881e-07
0.6154,2000.0,0.0,4.991699140054076e-07
0.6923,2000.0,0.0,9.26884757729898e-07
0.6154,2000.0,0.0,7.130586057361657e-07
0.6154,2000.0,0.0,6.044409276626984e-07
0.6154,2000.0,0.0,1.1643307566438354e-06
0.6923,2000.0,0.0,1.0158806615346276e-06
0.6154,2000.0,0.0,8.088586510718027e-07
0.7692,2000.0,0.0,7.557542437949693e-07
0.6154,2000.0,0.0,5.25661779817254e-07
0.6923,2000.0,0.0,1.0852408718831957e-06
0.6154,2000.0,0.0,6.937100012849788e-07
0.6154,2000.0,0.0,1.216712071993354e-06
0.6923,2000.0,0.0,8.569415105925077e-07
0.6154,2000.0,0.0,1.0623139738002426e-06
