test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8571,0.8472,941.0,0.1,-1.0,22.00965142250061
0.9,0.8901,751.0,0.1,-1.0,21.02179718017578
0.7143,0.6944,671.0,0.1,-1.0,22.022111654281616
0.8095,0.7981,585.0,0.1,-1.0,21.981191158294678
0.95,0.9643,1161.0,0.1,-1.0,21.10748052597046
0.7619,0.7333,714.0,0.1,-1.0,22.06782031059265
0.9524,0.9444,849.0,0.1,-1.0,22.123955249786377
0.85,0.8333,648.0,0.1,-1.0,21.220179319381714
0.9048,0.8929,713.0,0.1,-1.0,22.110056161880493
0.8095,0.8167,1011.0,0.1,-1.0,22.141189336776733
0.75,0.75,605.0,0.1,-1.0,21.19293189048767
0.7143,0.7692,723.0,0.1,-1.0,22.219579458236694
0.8571,0.8571,947.0,0.1,-1.0,22.184679985046387
0.9,0.9333,922.0,0.1,-1.0,21.182499647140503
0.8571,0.8365,744.0,0.1,-1.0,22.11055636405945
0.9048,0.9,856.0,0.1,-1.0,22.10096311569214
0.8,0.7802,640.0,0.1,-1.0,21.184752464294434
0.8571,0.9118,1060.0,0.1,-1.0,22.056628465652466
0.8571,0.8472,505.0,0.1,-1.0,22.05630326271057
0.8,0.8182,787.0,0.1,-1.0,21.07451844215393
0.9048,0.8929,814.0,0.1,-1.0,22.0385422706604
1.0,1.0,858.0,0.1,-1.0,22.005651235580444
0.75,0.7262,638.0,0.1,-1.0,21.101338386535645
0.7143,0.6944,675.0,0.1,-1.0,22.016897201538086
0.8571,0.8571,939.0,0.1,-1.0,22.036606788635254
0.85,0.8333,747.0,0.1,-1.0,21.067810535430908
0.8095,0.7917,1096.0,0.1,-1.0,22.060558795928955
0.8095,0.7981,689.0,0.1,-1.0,22.0686616897583
0.8,0.8,803.0,0.1,-1.0,21.054306268692017
0.9048,0.9375,728.0,0.1,-1.0,22.07480263710022
0.8095,0.8333,836.0,0.1,-1.0,22.05158233642578
0.7,0.6869,842.0,0.1,-1.0,21.110435009002686
0.8095,0.7857,863.0,0.1,-1.0,22.06987428665161
0.7619,0.75,639.0,0.1,-1.0,22.118799686431885
0.95,0.9375,871.0,0.1,-1.0,21.13673448562622
0.8571,0.8365,859.0,0.1,-1.0,22.117634296417236
0.7143,0.6971,627.0,0.1,-1.0,22.112327337265015
0.8,0.8,848.0,0.1,-1.0,21.182963132858276
0.8095,0.7857,840.0,0.1,-1.0,22.146966457366943
0.8571,0.8472,687.0,0.1,-1.0,22.127532482147217
0.8,0.7879,834.0,0.1,-1.0,21.152718544006348
0.7619,0.7333,663.0,0.1,-1.0,22.10087513923645
0.9048,0.9333,736.0,0.1,-1.0,22.345566272735596
0.8,0.8182,820.0,0.1,-1.0,21.376519441604614
