        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01       44.0  44.000000
mean    0.961245      0.961282   99.613636  2.000000e-01       -1.0  34.025320
std     0.003836      0.003835    0.537691  8.422938e-17        0.0   0.310586
min     0.953300      0.953300   98.000000  2.000000e-01       -1.0  33.711292
25%     0.959200      0.959225   99.000000  2.000000e-01       -1.0  33.818938
50%     0.960800      0.960850  100.000000  2.000000e-01       -1.0  34.011787
75%     0.963225      0.963375  100.000000  2.000000e-01       -1.0  34.127643
max     0.970400      0.970400  100.000000  2.000000e-01       -1.0  35.714610
GLOBAL EMISSIONS: 1574.6160960197449 ( 34.991468800438774 each execution)
