        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01       44.0  44.000000
mean    0.831591      0.824425  189.431818  3.000000e-01       -1.0  40.021582
std     0.062324      0.066658   57.064793  5.615292e-17        0.0   0.791626
min     0.700000      0.686900  100.000000  3.000000e-01       -1.0  35.962069
25%     0.800000      0.787350  149.000000  3.000000e-01       -1.0  39.734499
50%     0.829750      0.825750  185.500000  3.000000e-01       -1.0  40.194613
75%     0.857100      0.858725  211.500000  3.000000e-01       -1.0  40.470476
max     1.000000      1.000000  366.000000  3.000000e-01       -1.0  40.983613
GLOBAL EMISSIONS: 1820.4665546417236 ( 40.454812325371634 each execution)
