        test_acc  balanced_acc        nfeat  max_alpha  emissions   duration
count  44.000000     44.000000    44.000000       44.0  44.000000  44.000000
mean    0.966109      0.966223  4932.590909        0.0   0.000084   7.727630
std     0.003238      0.003176     8.110625        0.0   0.000003   0.213915
min     0.959700      0.959800  4913.000000        0.0   0.000076   7.260001
25%     0.963900      0.964025  4928.000000        0.0   0.000082   7.643231
50%     0.965700      0.965850  4934.000000        0.0   0.000085   7.850574
75%     0.968400      0.968575  4938.250000        0.0   0.000087   7.878211
max     0.974300      0.974300  4946.000000        0.0   0.000089   7.917987
GLOBAL EMISSIONS: 8.714624753823814e-05 ( 1.936583278627514e-06 each execution)
