        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  44.000000     44.000000   44.000000       44.0  44.000000  44.000000
mean    0.961461      0.961511   99.750000        0.5   0.000255  23.374985
std     0.003516      0.003506    0.438019        0.0   0.000005   0.304108
min     0.954100      0.954200   99.000000        0.5   0.000234  21.714392
25%     0.958900      0.958900   99.750000        0.5   0.000254  23.349846
50%     0.961650      0.961700  100.000000        0.5   0.000256  23.425914
75%     0.964400      0.964425  100.000000        0.5   0.000257  23.474901
max     0.967400      0.967500  100.000000        0.5   0.000263  23.673638
GLOBAL EMISSIONS: 0.0002535148877326 ( 5.633664171835555e-06 each execution)
