        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.826184      0.820470  266.727273  2.000000e-01   0.000221  20.328455
std     0.070829      0.077726   74.320914  8.422938e-17   0.000004   0.284824
min     0.666700      0.634600  114.000000  2.000000e-01   0.000211  19.743476
25%     0.761900      0.783025  212.000000  2.000000e-01   0.000219  20.137943
50%     0.809500      0.811350  257.000000  2.000000e-01   0.000222  20.323718
75%     0.857100      0.869925  300.750000  2.000000e-01   0.000223  20.533635
max     1.000000      1.000000  461.000000  2.000000e-01   0.000230  20.861530
GLOBAL EMISSIONS: 0.0002216474294409 ( 4.92549843202e-06 each execution)
