test_acc,nfeat,max_alpha,emissions
0.5385,2000.0,0.5,4.0227856999604775e-06
0.6154,2000.0,0.5,1.2691559448198975e-06
0.6154,2000.0,0.5,9.963063835086378e-07
0.6923,2000.0,0.5,1.0207972983216008e-06
0.7692,2000.0,0.5,6.435208538230776e-07
0.7692,2000.0,0.5,8.388920646848421e-07
0.7692,2000.0,0.5,1.4420052521922334e-06
0.6923,2000.0,0.5,1.2144371134915286e-06
0.6923,2000.0,0.5,1.2265145155824292e-06
0.6923,2000.0,0.5,1.0675747502401364e-06
0.6923,2000.0,0.5,1.0556874818538735e-06
0.6923,2000.0,0.5,1.3018742435492736e-06
0.6923,2000.0,0.5,1.121504480623424e-06
0.5385,2000.0,0.5,1.800493183582393e-06
0.6154,2000.0,0.5,1.0754486355456176e-06
0.6923,2000.0,0.5,1.0426929152388724e-06
0.6154,2000.0,0.5,1.2448420615910383e-06
0.6154,2000.0,0.5,1.1661963648880176e-06
0.6923,2000.0,0.5,1.1497092579474862e-06
0.5385,2000.0,0.5,1.1108888293690292e-06
