test_acc,nfeat,max_alpha,emissions
0.6923,193.0,0.5,0.0002749633514103
0.6923,180.0,0.5,0.0002929615777361
0.6923,192.0,0.5,0.0002915678745221
0.6923,185.0,0.5,0.0002971336982989
0.6923,166.0,0.5,0.0002981917391463
0.6923,182.0,0.5,0.0002870758136711
0.6923,176.0,0.5,0.000293352822769
0.6923,183.0,0.5,0.0002941839647699
0.6923,188.0,0.5,0.0002844768067272
0.6923,194.0,0.5,0.0002844381659948
0.6923,163.0,0.5,0.0002906578656939
0.6923,177.0,0.5,0.000283771561666
0.6923,173.0,0.5,0.0002646402109762
0.6923,184.0,0.5,0.000264768677349
0.6923,186.0,0.5,0.000268020634596
0.6923,179.0,0.5,0.000272224611267
0.6923,191.0,0.5,0.0002693090841067
0.6923,186.0,0.5,0.0002695251347775
0.6923,179.0,0.5,0.0002666041675708
0.6923,189.0,0.5,0.0002773171758545
