test_acc,nfeat,max_alpha,emissions
0.6923,116.0,0.5,0.0003354625349322
0.6923,90.0,0.5,0.0003307442739442
0.6923,102.0,0.5,0.0003440288185342
0.6923,105.0,0.5,0.0003301795652373
0.6923,94.0,0.5,0.0003522768638778
0.6923,105.0,0.5,0.000317628546146
0.6923,103.0,0.5,0.0003240114190743
0.6923,109.0,0.5,0.0003239268172251
0.6923,114.0,0.5,0.0003171391037584
0.6923,100.0,0.5,0.0003146477369453
0.6923,108.0,0.5,0.0003094603833538
0.6923,112.0,0.5,0.0003176299144839
0.6923,100.0,0.5,0.000320851723396
0.6923,101.0,0.5,0.0003184816513317
0.6923,105.0,0.5,0.0003062853628305
0.6923,102.0,0.5,0.000313390551353
0.6923,117.0,0.5,0.0003041021799948
0.6923,115.0,0.5,0.000313224623333
0.6923,107.0,0.5,0.0003126074169655
0.6923,106.0,0.5,0.0002984724948241
