test_acc,nfeat,max_alpha,emissions
0.6923,28.0,0.5,0.0004686017669327
0.6923,28.0,0.5,0.0004679775130332
0.6923,29.0,0.5,0.0004438641423909
0.6923,30.0,0.5,0.0004407877230532
0.6923,28.0,0.5,0.0004485733318995
0.6923,31.0,0.5,0.0004446434471846
0.6923,28.0,0.5,0.0004545949864239
0.6923,28.0,0.5,0.000439368855581
0.6923,29.0,0.5,0.000487137083543
0.6923,29.0,0.5,0.0004617573296871
0.6923,29.0,0.5,0.0004584721494808
0.6923,29.0,0.5,0.0004516625488978
0.6923,28.0,0.5,0.000445874384599
0.6923,29.0,0.5,0.0004423785838234
0.6923,28.0,0.5,0.000439849065527
0.6923,31.0,0.5,0.0004344056554663
0.6923,30.0,0.5,0.0004860466679326
0.6923,27.0,0.5,0.0004397679364339
0.6923,27.0,0.5,0.000445354762673
0.6923,31.0,0.5,0.0004504198753764
