test_acc,nfeat,max_alpha,emissions
0.6923,671.0,0.5,0.0001843651541057
0.6923,715.0,0.5,0.0001776810361571
0.6923,691.0,0.5,0.0001871308758261
0.7692,757.0,0.5,0.000184681751263
0.6923,679.0,0.5,0.0001752600987949
0.6923,682.0,0.5,0.0001718243544322
0.7692,684.0,0.5,0.000186881961194
0.6923,676.0,0.5,0.0001842710364229
0.6923,680.0,0.5,0.00017772162105
0.6923,697.0,0.5,0.0001789236445575
0.6923,702.0,0.5,0.0001855394297806
0.6923,762.0,0.5,0.0001809916801624
0.6923,712.0,0.5,0.0001607713624033
0.6923,750.0,0.5,0.0001710597585801
0.6923,695.0,0.5,0.0001852560981604
0.6923,741.0,0.5,0.0001798852591553
0.6923,682.0,0.5,0.0001835994689011
0.6923,702.0,0.5,0.0001987693808413
0.7692,711.0,0.5,0.000191195384931
0.7692,756.0,0.5,0.0001813304523606
