test_acc,nfeat,max_alpha,emissions
0.6923,66.0,0.5,0.000343213620109
0.6923,77.0,0.5,0.0003345335983042
0.6923,79.0,0.5,0.0003405433949264
0.6923,65.0,0.5,0.0003424583139922
0.6923,68.0,0.5,0.0003687123348803
0.6923,72.0,0.5,0.0003629436694394
0.6923,73.0,0.5,0.0003450913315553
0.6923,78.0,0.5,0.0003533100115639
0.6923,69.0,0.5,0.0003612843335251
0.6923,73.0,0.5,0.0003323671412469
0.6923,71.0,0.5,0.0003431899468289
0.6923,63.0,0.5,0.0003504755322663
0.6923,70.0,0.5,0.0003580521638577
0.6923,72.0,0.5,0.0004040895679377
0.6923,70.0,0.5,0.0003610720305117
0.6923,69.0,0.5,0.0003706173381042
0.6923,72.0,0.5,0.0003510334300864
0.6923,70.0,0.5,0.0003497409944558
0.6923,75.0,0.5,0.0003688116621381
0.6923,69.0,0.5,0.0003598671272619
