        test_acc  balanced_acc       nfeat  max_alpha  emissions   duration
count  29.000000     29.000000   29.000000       29.0  29.000000  29.000000
mean    0.908034      0.918248  162.172414        0.5   0.000453  40.850271
std     0.069945      0.065078   19.449695        0.0   0.000009   0.820683
min     0.733300      0.750000  132.000000        0.5   0.000433  39.022391
25%     0.866700      0.900000  149.000000        0.5   0.000448  40.306241
50%     0.933300      0.937500  157.000000        0.5   0.000453  40.877979
75%     0.933300      0.944400  175.000000        0.5   0.000458  41.305628
max     1.000000      1.000000  208.000000        0.5   0.000475  42.895177
GLOBAL EMISSIONS: 0.000451325268689 ( 1.5044175622966667e-05 each execution)
