        test_acc  balanced_acc   nfeat  max_alpha  emissions   duration
count  44.000000     44.000000    44.0       44.0       44.0  44.000000
mean    0.931816      0.925802  3571.0        0.0       -1.0   0.124530
std     0.055451      0.054302     0.0        0.0        0.0   0.000538
min     0.750000      0.791700  3571.0        0.0       -1.0   0.123502
25%     0.916700      0.900000  3571.0        0.0       -1.0   0.124160
50%     0.958300      0.944400  3571.0        0.0       -1.0   0.124521
75%     0.958300      0.954700  3571.0        0.0       -1.0   0.124801
max     1.000000      1.000000  3571.0        0.0       -1.0   0.125805
GLOBAL EMISSIONS: 12.540529489517212 ( 0.2786784331003825 each execution)
