        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  29.000000     29.000000    29.000000  2.900000e+01  29.000000  29.000000
mean    0.914938      0.924310  2804.137931  1.000000e-01   0.000286  15.265864
std     0.073234      0.065852   233.043792  2.824686e-17   0.000072   0.731339
min     0.733300      0.750000  2302.000000  1.000000e-01   0.000161  14.303882
25%     0.866700      0.866100  2661.000000  1.000000e-01   0.000240  14.714727
50%     0.933300      0.937500  2828.000000  1.000000e-01   0.000321  15.082519
75%     1.000000      1.000000  2928.000000  1.000000e-01   0.000332  15.580838
max     1.000000      1.000000  3316.000000  1.000000e-01   0.000376  17.314538
GLOBAL EMISSIONS: 0.0003324423045055 ( 1.1081410150183334e-05 each execution)
