        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01       44.0  44.000000
mean    0.832782      0.827127  1087.681818  1.000000e-01       -1.0  19.550058
std     0.067181      0.074711   181.653487  4.211469e-17        0.0   0.306970
min     0.700000      0.686900   694.000000  1.000000e-01       -1.0  19.032531
25%     0.800000      0.787350   964.250000  1.000000e-01       -1.0  19.419845
50%     0.850000      0.833300  1080.500000  1.000000e-01       -1.0  19.494115
75%     0.857100      0.858725  1199.500000  1.000000e-01       -1.0  19.756041
max     1.000000      1.000000  1489.000000  1.000000e-01       -1.0  20.648038
GLOBAL EMISSIONS: 890.5206332206726 ( 19.789347404903836 each execution)
