        test_acc  balanced_acc      nfeat     max_alpha  emissions   duration
count  29.000000     29.000000  29.000000  2.900000e+01  29.000000  29.000000
mean    0.833000      0.827431  36.896552  4.000000e-01   0.000375  33.861615
std     0.059741      0.061850  14.061967  1.129875e-16   0.000009   0.805322
min     0.750000      0.726200  17.000000  4.000000e-01   0.000349  31.618713
25%     0.800000      0.787900  29.000000  4.000000e-01   0.000368  33.450423
50%     0.809500      0.806200  32.000000  4.000000e-01   0.000374  33.806814
75%     0.857100      0.863600  47.000000  4.000000e-01   0.000380  34.313295
max     1.000000      1.000000  77.000000  4.000000e-01   0.000395  35.574503
GLOBAL EMISSIONS: 0.0003763682077285 ( 1.2545606924283333e-05 each execution)
