        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01       44.0  44.000000
mean    0.994334      0.996659  340.022727  4.000000e-01       -1.0  48.116888
std     0.007970      0.004699   43.161939  1.684588e-16        0.0   0.474227
min     0.983300      0.990200  250.000000  4.000000e-01       -1.0  47.253392
25%     0.983525      0.990200  313.000000  4.000000e-01       -1.0  47.815706
50%     1.000000      1.000000  334.000000  4.000000e-01       -1.0  48.029844
75%     1.000000      1.000000  355.750000  4.000000e-01       -1.0  48.429239
max     1.000000      1.000000  450.000000  4.000000e-01       -1.0  49.290691
GLOBAL EMISSIONS: 2178.918354511261 ( 48.42040787802802 each execution)
