        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01       44.0  44.000000
mean    0.992445      0.989932  4064.772727  1.000000e-01       -1.0  19.071782
std     0.009109      0.016741   420.499197  4.211469e-17        0.0   0.141646
min     0.966700      0.940000  2566.000000  1.000000e-01       -1.0  18.774487
25%     0.983300      0.990200  3825.500000  1.000000e-01       -1.0  18.947600
50%     1.000000      1.000000  4083.500000  1.000000e-01       -1.0  19.105886
75%     1.000000      1.000000  4307.750000  1.000000e-01       -1.0  19.180233
max     1.000000      1.000000  4814.000000  1.000000e-01       -1.0  19.341055
GLOBAL EMISSIONS: 868.7734086513519 ( 19.30607574780782 each execution)
