        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.906061      0.917095  139.909091  4.000000e-01   0.000455  37.246445
std     0.061523      0.055071   17.611859  1.684588e-16   0.000009   0.714722
min     0.800000      0.803600  111.000000  4.000000e-01   0.000435  35.739987
25%     0.866700      0.866100  128.750000  4.000000e-01   0.000447  36.625670
50%     0.933300      0.937500  138.000000  4.000000e-01   0.000453  37.234088
75%     0.933300      0.944400  152.000000  4.000000e-01   0.000462  37.791891
max     1.000000      1.000000  176.000000  4.000000e-01   0.000474  38.842712
GLOBAL EMISSIONS: 0.0004453615760515 ( 9.896923912255554e-06 each execution)
