        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.993198      0.992634  745.681818  3.000000e-01   0.000281  25.768667
std     0.009685      0.014931   85.701421  5.615292e-17   0.000004   0.339422
min     0.966700      0.940000  486.000000  3.000000e-01   0.000267  24.577800
25%     0.983300      0.990200  685.750000  3.000000e-01   0.000279  25.699789
50%     1.000000      1.000000  752.500000  3.000000e-01   0.000281  25.796977
75%     1.000000      1.000000  802.750000  3.000000e-01   0.000283  25.946817
max     1.000000      1.000000  933.000000  3.000000e-01   0.000289  26.329051
GLOBAL EMISSIONS: 0.0002856573768338 ( 6.3479417074177774e-06 each execution)
