        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01  44.000000  44.000000
mean    0.990186      0.983280  4055.113636  1.000000e-01   0.000144  13.239068
std     0.012562      0.025958   410.208241  4.211469e-17   0.000003   0.146437
min     0.950000      0.884600  2990.000000  1.000000e-01   0.000137  12.936284
25%     0.983300      0.958300  3808.750000  1.000000e-01   0.000142  13.178352
50%     1.000000      1.000000  4081.500000  1.000000e-01   0.000144  13.301008
75%     1.000000      1.000000  4264.000000  1.000000e-01   0.000147  13.342462
max     1.000000      1.000000  4930.000000  1.000000e-01   0.000152  13.432258
GLOBAL EMISSIONS: 0.0001464778017222 ( 3.255062260493333e-06 each execution)
