        test_acc  balanced_acc      nfeat  max_alpha  emissions   duration
count  29.000000     29.000000  29.000000       29.0  29.000000  29.000000
mean    0.969810      0.967045  54.000000        0.5   0.000440  39.806118
std     0.024646      0.028485   7.156416        0.0   0.000008   0.673536
min     0.916700      0.906200  42.000000        0.5   0.000424  38.603360
25%     0.958300      0.944400  48.000000        0.5   0.000434  39.434879
50%     0.958300      0.968800  55.000000        0.5   0.000439  39.590003
75%     1.000000      1.000000  60.000000        0.5   0.000442  39.916931
max     1.000000      1.000000  68.000000        0.5   0.000464  41.916768
GLOBAL EMISSIONS: 0.0004563377744511 ( 1.521125914837e-05 each execution)
