        test_acc  balanced_acc        nfeat  max_alpha  emissions   duration
count  44.000000     44.000000    44.000000       44.0       44.0  44.000000
mean    0.966220      0.966352  4932.590909        0.0       -1.0  11.720962
std     0.003575      0.003517     8.110625        0.0        0.0   0.053797
min     0.956300      0.956800  4913.000000        0.0       -1.0  11.550700
25%     0.964000      0.964175  4928.000000        0.0       -1.0  11.689825
50%     0.966800      0.966900  4934.000000        0.0       -1.0  11.733583
75%     0.968000      0.968125  4938.250000        0.0       -1.0  11.754798
max     0.972600      0.972600  4946.000000        0.0       -1.0  11.824230
GLOBAL EMISSIONS: 576.9015462398529 ( 12.82003436088562 each execution)
