        test_acc  balanced_acc  nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.0  4.400000e+01  44.000000  44.000000
mean    0.531120      0.537075  500.0  2.000000e-01   0.000250  23.085357
std     0.019036      0.021463    0.0  8.422938e-17   0.000003   0.106495
min     0.493700      0.485800  500.0  2.000000e-01   0.000244  22.702508
25%     0.515625      0.517225  500.0  2.000000e-01   0.000248  23.029537
50%     0.530000      0.538100  500.0  2.000000e-01   0.000250  23.086942
75%     0.543875      0.555775  500.0  2.000000e-01   0.000252  23.174527
max     0.568600      0.575100  500.0  2.000000e-01   0.000255  23.247304
GLOBAL EMISSIONS: 0.0002508567261461 ( 5.574593914357778e-06 each execution)
