        test_acc  balanced_acc       nfeat     max_alpha  emissions   duration
count  44.000000     44.000000   44.000000  4.400000e+01  44.000000  44.000000
mean    0.994327      0.995848  394.727273  3.000000e-01   0.001105  84.593218
std     0.007979      0.007860   46.561469  5.615292e-17   0.000003   0.151734
min     0.983300      0.954500  282.000000  3.000000e-01   0.001099  84.411397
25%     0.983300      0.990200  365.250000  3.000000e-01   0.001102  84.435510
50%     1.000000      1.000000  388.500000  3.000000e-01   0.001105  84.597045
75%     1.000000      1.000000  425.250000  3.000000e-01   0.001106  84.659371
max     1.000000      1.000000  502.000000  3.000000e-01   0.001113  85.020141
GLOBAL EMISSIONS: 0.001104910713031 ( 2.455357140068889e-05 each execution)
