        test_acc  balanced_acc        nfeat     max_alpha  emissions   duration
count  44.000000     44.000000    44.000000  4.400000e+01  44.000000  44.000000
mean    0.928782      0.939066  2796.272727  1.000000e-01   0.000144  13.305968
std     0.072456      0.060883   221.904899  4.211469e-17   0.000003   0.164057
min     0.733300      0.750000  2187.000000  1.000000e-01   0.000137  13.002872
25%     0.866700      0.900000  2690.500000  1.000000e-01   0.000141  13.185072
50%     0.933300      0.940950  2781.500000  1.000000e-01   0.000144  13.274265
75%     1.000000      1.000000  2933.250000  1.000000e-01   0.000146  13.349104
max     1.000000      1.000000  3319.000000  1.000000e-01   0.000152  13.637476
GLOBAL EMISSIONS: 0.0001406993192685 ( 3.1266515393e-06 each execution)
